name,city,state,attend,denom,lat,lon
Golden Hills Community Church,Brentwood, CA,4000,BGC,37.931777,-121.696027
Saddleback Church,Lake Forest, CA,22055,SBC,33.646926,-117.685921
Allen Temple Baptist Church,Oakland, CA,5500,PNB,37.804456,-122.271356
Rock of Roseville,Roseville, CA,2000,UNK,38.752124,-121.288006
Family Community Church,San Jose, CA,3365,AG,37.336191,-121.890583
The Rock Church and World Outreach Center,San Bernardino, CA,14550,NONDENOM,34.108345,-117.289765
Reality,Carpinteria, CA,3000,NONDENOM,34.398884,-119.518456
The Bridge Bible Church,Bakersfield, CA,2100,NONDENOM,35.373871,-119.019464
Cornerstone Church of San Diego,National City, CA,6300,UNK,32.678109,-117.099197
Saint Paul Baptist Church,Sacramento, CA,2000,SBC,38.581061,-121.493895
Crenshaw Christian Center,Los Angeles, CA,3000,COGA,34.053691,-118.242766
Berendo Street Baptist Church,Los Angeles, CA,2000,BAPT,34.053691,-118.242766
WestGate Church,San Jose, CA,2100,UNK,37.336191,-121.890583
NewSong Church,Irvine, CA,2000,EC,33.685697,-117.825982
Faith Fellowship Foursquare Church,San Leandro, CA,2000,4SQ,37.72493,-122.156077
Abundant Living Family Church,Rancho Cucamonga, CA,4000,NONDENOM,34.103319,-117.575174
Victory Outreach Church,La Puente, CA,2000,UNK,34.01979,-117.950368
Eastside Christian Church,Anaheim, CA,4345,CHRISTIAN,33.834752,-117.911732
Rancho Community Church,Temecula, CA,2500,RCA,33.494635,-117.147366
The Rock Church of Sacramento,Elk Grove, CA,2000,PENT,38.408799,-121.371618
Whittier Area Community Church,Whittier, CA,3000,BGC,33.970878,-118.03084
Mariners Church,Irvine, CA,13567,NONDENOM,33.685697,-117.825982
Harvest Church,Elk Grove, CA,2200,AG,38.408799,-121.371618
Iglesia Cristiana La Familia de Dios,Ontario, CA,1800,BAPT,49.4515636581,-84.2539813003493
Ward African Methodist Episcopal Church,Los Angeles, CA,8000,AME,34.053691,-118.242766
Valley Christian Center Church,Fresno, CA,1800,4SQ,36.739442,-119.784831
Agape International Center for Truth,Culver City, CA,2500,RELSCI,34.021122,-118.396466
Templo Calvario Assembly of God,Santa Ana, CA,11000,AG,33.749495,-117.873221
Crystal Cathedral,Garden Grove, CA,2000,RCA,33.774629,-117.946372
Bel Air Presbyterian Church,Los Angeles, CA,2394,PCUSA,34.053691,-118.242766
Christian Life Center,Stockton, CA,2600,UPCI,39.943248,-75.075573
Neighborhood Church/Three Crosses,Castro Valley, CA,2500,NONDENOM,37.694552,-122.085743
Calvary Chapel,Santa Barbara, CA,2200,CAL,34.422132,-119.702667
